i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
389,2133000000,3199000000,up,580706902891052,9029.73,13256.59,0
390,3199000000,2133000000,down,580707166668836,8610.52,12752.26,0
391,2133000000,3199000000,up,580707429948079,8728.19,12724.16,0
392,3199000000,2133000000,down,580707693177721,8551.8,13344.18,0
393,2133000000,3199000000,up,580707957082356,8912.07,13149.26,0
394,3199000000,2133000000,down,580708220775145,8574.68,12842.98,0
395,2133000000,3199000000,up,580708484088246,8708.96,12687.14,0
396,3199000000,2133000000,down,580708747312896,8706.01,12982.82,0
397,2133000000,3199000000,up,580709010888179,9859.7,14068.07,0
398,3199000000,2133000000,down,580709275524576,8696.99,12911.14,0
399,2133000000,3199000000,up,580709538903375,8518.23,12512.67,0
